"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","button0","button1","condition","order"
"pavlovia","0","7","0.0-0.0","wj9u3kddl0mm6ah","","","","","","","","",""
"fullscreen","1","4424","0.0-1.0","wj9u3kddl0mm6ah","true","","","","","","","",""
"html-button-response","2","5500","0.0-2.0","wj9u3kddl0mm6ah","","1074","Let's start!","0","","","","",""
"audio-keyboard-response","3","7764","0.0-3.0","wj9u3kddl0mm6ah","","null","audio/apple.mp3","","null","","","",""
"html-button-response","4","9441","0.0-4.0","wj9u3kddl0mm6ah","","1676","","0","","<img src=""img/apple.png"" width=""40%"" />","<img src=""img/puppy.png"" width=""40%"" />","",""
"audio-keyboard-response","5","11073","0.0-5.0","wj9u3kddl0mm6ah","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","6","11914","0.0-6.0","wj9u3kddl0mm6ah","","840","","1","","<img src=""img/apple.png"" width=""40%"" />","<img src=""img/puppy.png"" width=""40%"" />","",""
"audio-keyboard-response","7","13916","0.0-7.0","wj9u3kddl0mm6ah","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","8","16918","0.0-8.0","wj9u3kddl0mm6ah","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","9","34112","0.0-9.0","wj9u3kddl0mm6ah","","null","","","null","","","sc-label-first","1-1"
"audio-keyboard-response","10","37978","0.0-10.0","wj9u3kddl0mm6ah","","null","audio/norm_numo.mp3","","null","","","",""
"html-button-response","11","38892","0.0-11.0","wj9u3kddl0mm6ah","","914","","1","","<img src=""img/9.png"" width=""40%"" />","<img src=""img/15.png"" width=""40%"" />","sc-label-first","1-1"
"audio-keyboard-response","12","42258","0.0-12.0","wj9u3kddl0mm6ah","","null","audio/norm_gazzer.mp3","","null","","","",""
"html-button-response","13","42981","0.0-13.0","wj9u3kddl0mm6ah","","721","","1","","<img src=""img/15.png"" width=""40%"" />","<img src=""img/9.png"" width=""40%"" />","sc-label-first","1-1"
"audio-keyboard-response","14","46346","0.0-14.0","wj9u3kddl0mm6ah","","null","audio/norm_numo.mp3","","null","","","",""
"html-button-response","15","46803","0.0-15.0","wj9u3kddl0mm6ah","","457","","1","","<img src=""img/9.png"" width=""40%"" />","<img src=""img/15.png"" width=""40%"" />","sc-label-first","1-1"
"audio-keyboard-response","16","50167","0.0-16.0","wj9u3kddl0mm6ah","","null","audio/norm_gazzer.mp3","","null","","","",""
"html-button-response","17","50814","0.0-17.0","wj9u3kddl0mm6ah","","645","","0","","<img src=""img/9.png"" width=""40%"" />","<img src=""img/15.png"" width=""40%"" />","sc-label-first","1-1"
"audio-keyboard-response","18","54316","0.0-18.0","wj9u3kddl0mm6ah","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","19","57318","0.0-19.0","wj9u3kddl0mm6ah","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","20","73815","0.0-20.0","wj9u3kddl0mm6ah","","null","","","null","","","sc-label-first","1-1"
"audio-keyboard-response","21","77680","0.0-21.0","wj9u3kddl0mm6ah","","null","audio/norm_blicket.mp3","","null","","","",""
"html-button-response","22","78246","0.0-22.0","wj9u3kddl0mm6ah","","565","","0","","<img src=""img/1.png"" width=""40%"" />","<img src=""img/5.png"" width=""40%"" />","sc-label-first","1-1"
"audio-keyboard-response","23","81610","0.0-23.0","wj9u3kddl0mm6ah","","null","audio/norm_blicket.mp3","","null","","","",""
"html-button-response","24","82388","0.0-24.0","wj9u3kddl0mm6ah","","777","","0","","<img src=""img/1.png"" width=""40%"" />","<img src=""img/5.png"" width=""40%"" />","sc-label-first","1-1"
"audio-keyboard-response","25","85751","0.0-25.0","wj9u3kddl0mm6ah","","null","audio/norm_toma.mp3","","null","","","",""
"html-button-response","26","86192","0.0-26.0","wj9u3kddl0mm6ah","","440","","1","","<img src=""img/1.png"" width=""40%"" />","<img src=""img/5.png"" width=""40%"" />","sc-label-first","1-1"
"audio-keyboard-response","27","89557","0.0-27.0","wj9u3kddl0mm6ah","","null","audio/norm_toma.mp3","","null","","","",""
"html-button-response","28","90308","0.0-28.0","wj9u3kddl0mm6ah","","749","","0","","<img src=""img/5.png"" width=""40%"" />","<img src=""img/1.png"" width=""40%"" />","sc-label-first","1-1"
"audio-keyboard-response","29","93810","0.0-29.0","wj9u3kddl0mm6ah","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","30","96813","0.0-30.0","wj9u3kddl0mm6ah","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","31","113622","0.0-31.0","wj9u3kddl0mm6ah","","null","","","null","","","sc-label-last","1-1"
"audio-keyboard-response","32","117487","0.0-32.0","wj9u3kddl0mm6ah","","null","audio/norm_paegu.mp3","","null","","","",""
"html-button-response","33","117986","0.0-33.0","wj9u3kddl0mm6ah","","496.99999999998545","","0","","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","34","121350","0.0-34.0","wj9u3kddl0mm6ah","","null","audio/norm_tentle.mp3","","null","","","",""
"html-button-response","35","121912","0.0-35.0","wj9u3kddl0mm6ah","","561.0000000000146","","1","","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","36","125278","0.0-36.0","wj9u3kddl0mm6ah","","null","audio/norm_paegu.mp3","","null","","","",""
"html-button-response","37","126986","0.0-37.0","wj9u3kddl0mm6ah","","1707","","0","","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","38","130350","0.0-38.0","wj9u3kddl0mm6ah","","null","audio/norm_tentle.mp3","","null","","","",""
"html-button-response","39","130684","0.0-39.0","wj9u3kddl0mm6ah","","333","","1","","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","40","134186","0.0-40.0","wj9u3kddl0mm6ah","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","41","137190","0.0-41.0","wj9u3kddl0mm6ah","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","42","154738","0.0-42.0","wj9u3kddl0mm6ah","","null","","","null","","","sc-label-last","1-1"
"audio-keyboard-response","43","158605","0.0-43.0","wj9u3kddl0mm6ah","","null","audio/norm_klefu.mp3","","null","","","",""
"html-button-response","44","159340","0.0-44.0","wj9u3kddl0mm6ah","","734","","1","","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","45","162705","0.0-45.0","wj9u3kddl0mm6ah","","null","audio/norm_jimo.mp3","","null","","","",""
"html-button-response","46","163487","0.0-46.0","wj9u3kddl0mm6ah","","782","","1","","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","47","166852","0.0-47.0","wj9u3kddl0mm6ah","","null","audio/norm_klefu.mp3","","null","","","",""
"html-button-response","48","167568","0.0-48.0","wj9u3kddl0mm6ah","","715","","0","","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","49","170932","0.0-49.0","wj9u3kddl0mm6ah","","null","audio/norm_jimo.mp3","","null","","","",""
"html-button-response","50","171160","0.0-50.0","wj9u3kddl0mm6ah","","227","","1","","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","51","174663","0.0-51.0","wj9u3kddl0mm6ah","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","52","177665","0.0-52.0","wj9u3kddl0mm6ah","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","53","193829","0.0-53.0","wj9u3kddl0mm6ah","","null","","","null","","","nsc-label-first","1-1"
"audio-keyboard-response","54","197693","0.0-54.0","wj9u3kddl0mm6ah","","null","audio/norm_chamu.mp3","","null","","","",""
"html-button-response","55","198203","0.0-55.0","wj9u3kddl0mm6ah","","509.0000000000291","","1","","<img src=""img/14.png"" width=""40%"" />","<img src=""img/13.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","56","201567","0.0-56.0","wj9u3kddl0mm6ah","","null","audio/norm_dakup.mp3","","null","","","",""
"html-button-response","57","202138","0.0-57.0","wj9u3kddl0mm6ah","","570.0000000000291","","1","","<img src=""img/13.png"" width=""40%"" />","<img src=""img/14.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","58","205503","0.0-58.0","wj9u3kddl0mm6ah","","null","audio/norm_chamu.mp3","","null","","","",""
"html-button-response","59","206009","0.0-59.0","wj9u3kddl0mm6ah","","505","","1","","<img src=""img/14.png"" width=""40%"" />","<img src=""img/13.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","60","209375","0.0-60.0","wj9u3kddl0mm6ah","","null","audio/norm_dakup.mp3","","null","","","",""
"html-button-response","61","209797","0.0-61.0","wj9u3kddl0mm6ah","","419.9999999999709","","0","","<img src=""img/14.png"" width=""40%"" />","<img src=""img/13.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","62","213300","0.0-62.0","wj9u3kddl0mm6ah","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","63","216301","0.0-63.0","wj9u3kddl0mm6ah","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","64","232875","0.0-64.0","wj9u3kddl0mm6ah","","null","","","null","","","nsc-label-first","1-1"
"audio-keyboard-response","65","236742","0.0-65.0","wj9u3kddl0mm6ah","","null","audio/norm_fopin.mp3","","null","","","",""
"html-button-response","66","237513","0.0-66.0","wj9u3kddl0mm6ah","","769","","1","","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","67","240877","0.0-67.0","wj9u3kddl0mm6ah","","null","audio/norm_nissle.mp3","","null","","","",""
"html-button-response","68","241404","0.0-68.0","wj9u3kddl0mm6ah","","525","","0","","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","69","244768","0.0-69.0","wj9u3kddl0mm6ah","","null","audio/norm_fopin.mp3","","null","","","",""
"html-button-response","70","244865","0.0-70.0","wj9u3kddl0mm6ah","","96.0000000000291","","1","","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","71","248229","0.0-71.0","wj9u3kddl0mm6ah","","null","audio/norm_nissle.mp3","","null","","","",""
"html-button-response","72","248564","0.0-72.0","wj9u3kddl0mm6ah","","334","","1","","<img src=""img/2.png"" width=""40%"" />","<img src=""img/6.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","73","252067","0.0-73.0","wj9u3kddl0mm6ah","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","74","255069","0.0-74.0","wj9u3kddl0mm6ah","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","75","271327","0.0-75.0","wj9u3kddl0mm6ah","","null","","","null","","","nsc-label-last","1-1"
"audio-keyboard-response","76","275193","0.0-76.0","wj9u3kddl0mm6ah","","null","audio/norm_reko.mp3","","null","","","",""
"html-button-response","77","275798","0.0-77.0","wj9u3kddl0mm6ah","","602.0000000000582","","1","","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","78","279160","0.0-78.0","wj9u3kddl0mm6ah","","null","audio/norm_reko.mp3","","null","","","",""
"html-button-response","79","279913","0.0-79.0","wj9u3kddl0mm6ah","","751","","1","","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","80","283278","0.0-80.0","wj9u3kddl0mm6ah","","null","audio/norm_vugim.mp3","","null","","","",""
"html-button-response","81","283882","0.0-81.0","wj9u3kddl0mm6ah","","603","","0","","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","82","287246","0.0-82.0","wj9u3kddl0mm6ah","","null","audio/norm_vugim.mp3","","null","","","",""
"html-button-response","83","287690","0.0-83.0","wj9u3kddl0mm6ah","","442","","1","","<img src=""img/4.png"" width=""40%"" />","<img src=""img/8.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","84","291193","0.0-84.0","wj9u3kddl0mm6ah","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","85","294195","0.0-85.0","wj9u3kddl0mm6ah","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","86","310157","0.0-86.0","wj9u3kddl0mm6ah","","null","","","null","","","nsc-label-last","1-1"
"audio-keyboard-response","87","314023","0.0-87.0","wj9u3kddl0mm6ah","","null","audio/norm_zibo.mp3","","null","","","",""
"html-button-response","88","316533","0.0-88.0","wj9u3kddl0mm6ah","","2507.999999999942","","1","","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","89","319897","0.0-89.0","wj9u3kddl0mm6ah","","null","audio/norm_miffle.mp3","","null","","","",""
"html-button-response","90","320589","0.0-90.0","wj9u3kddl0mm6ah","","691.0000000000582","","1","","<img src=""img/16.png"" width=""40%"" />","<img src=""img/12.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","91","323953","0.0-91.0","wj9u3kddl0mm6ah","","null","audio/norm_zibo.mp3","","null","","","",""
"html-button-response","92","324173","0.0-92.0","wj9u3kddl0mm6ah","","218","","1","","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","93","327538","0.0-93.0","wj9u3kddl0mm6ah","","null","audio/norm_miffle.mp3","","null","","","",""
"html-button-response","94","328439","0.0-94.0","wj9u3kddl0mm6ah","","900","","1","","<img src=""img/16.png"" width=""40%"" />","<img src=""img/12.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","95","331941","0.0-95.0","wj9u3kddl0mm6ah","","null","audio/goodjob.mp3","","null","","","",""
"image-keyboard-response","96","334942","0.0-96.0","wj9u3kddl0mm6ah","","null","img/welldone.jpg","","null","","","",""
